type,language,text,frequency
word,en,phone,7
word,en,kuya,7
word,en,maulan,7
word,en,dala,7
word,en,payong,7
word,en,bes,7
word,en,girl,7
word,en,kaibigan,7
word,en,comment,6
word,en,word,6
word,en,sources,6
word,en,know,6
word,en,lead,6
word,en,term,6
word,en,see,6
word,en,site,6
word,en,jew,6
word,en,watch,6
word,en,point,6
word,en,edit,6
word,en,kill,6
word,en,well,6
word,en,soldier,6
word,en,sila,6
word,en,bwiset,6
word,en,noh,6
word,en,tama,6
word,en,behavior,6
word,en,hehe,6
word,en,rules,5
word,en,anyone,5
word,en,please,5
word,en,stop,5
word,en,doesnt,5
word,en,many,5
word,en,especially,5
word,en,matter,5
word,en,called,5
word,en,didnt,5
word,en,slim,5
word,en,virgin,5
word,en,try,5
word,en,banned,5
word,en,anything,5
word,en,said,5
word,en,singles,5
word,en,day,5
word,en,yang,5
word,en,daw,5
word,en,lol,5
word,en,pogi,5
word,en,bro,5
word,en,switch,5
word,en,haha,5
word,en,tao,5
word,en,lagi,5
word,en,luh,5
word,en,totoo,5
word,en,nakakaloka,5
word,en,kupas,5
word,en,sarah,5
word,en,forever,5
word,tl,ang,2239
word,tl,talaga,917
word,tl,tingin,719
word,tl,yung,628
word,tl,pak,628
word,tl,ako,571
word,tl,lit,522
word,tl,yooo,463
word,tl,naman,408
word,tl,think,391
word,tl,galing,379
word,tl,omg,374
word,tl,very,359
word,tl,ganda,338
word,tl,lang,330
word,tl,and,330
word,tl,awit,325
word,tl,bet,319
word,tl,naur,318
word,tl,slay,310
word,tl,ito,249
word,tl,the,194
word,tl,with,193
word,tl,mga,191
word,tl,legit,188
word,tl,based,186
word,tl,this,184
word,tl,goated,183
word,tl,fire,179
word,tl,dope,177
word,tl,iconic,177
word,tl,undefeated,174
word,tl,bussin,169
word,tl,peak,165
word,tl,valid,164
word,tl,majors,162
word,tl,satisfying,160
word,tl,yan,155
word,tl,vibe,154
word,tl,sick,152
word,tl,good,151
word,tl,fresh,150
word,tl,clean,148
word,tl,online,145
word,tl,elite,144
word,tl,goals,137
word,tl,charot,132
word,tl,how,131
word,tl,assignment,119
word,tl,internships,118
word,tl,sana,117
word,tl,pubg,116
word,tl,kpop,115
word,tl,classes,115
word,tl,deserve,113
word,tl,basketball,113
word,tl,midtermseason,112
word,tl,understood,111
word,tl,valorant,110
word,tl,thesis,108
word,tl,sb19,108
word,tl,energy,107
word,tl,classof2025,107
word,tl,bestlife,107
word,tl,for,106
word,tl,weekend,106
word,tl,all,105
word,tl,weekendvibes,105
word,tl,esports,105
word,tl,finals,104
word,tl,coffee,104
word,tl,nofilter,104
word,tl,genshin,103
word,tl,impact,103
word,tl,sembreak,103
word,tl,passingthevibe,102
word,tl,collegedays,102
word,tl,ootd,102
word,tl,studentlife,102
word,tl,viral,100
word,tl,streaming,100
word,tl,anime,100
word,tl,cap,100
word,tl,life,99
word,tl,tiktok,99
word,tl,solid,99
word,tl,fashion,98
word,tl,trends,98
word,tl,living,98
word,tl,pinoypride,97
word,tl,memes,97
word,tl,twitter,96
word,tl,wala,95
word,tl,volleyball,95
word,tl,universitylife,95
word,tl,exams,95
word,tl,scholarships,95
word,tl,dramas,94
word,tl,campus,93
word,tl,professors,93
word,tl,petmalu,93
word,tl,dorm,93
word,tl,twentytwentyfive,92
word,tl,shops,92
word,tl,ppop,92
word,tl,netflix,92
word,tl,shows,92
word,tl,shook,91
word,tl,events,91
word,tl,challenges,91
word,tl,relationship,91
word,tl,drama,91
word,tl,group,90
word,tl,stan,89
word,tl,projects,89
word,tl,mobile,88
word,tl,legends,88
word,tl,parties,88
word,tl,goalaf,87
word,tl,new,86
word,tl,blackpink,86
word,tl,graduation,86
word,tl,bts,86
word,tl,thats,84
word,tl,sobrang,81
word,tl,trendingnow,80
word,tl,slayed,79
word,tl,may,78
word,tl,srsly,78
word,tl,guys,78
word,tl,music,78
word,tl,main,77
word,tl,character,77
word,tl,katropa,73
word,tl,apaka,70
word,tl,pero,69
word,tl,akong,67
word,tl,tropa,66
word,tl,love,66
word,tl,naol,64
word,tl,grabe,62
word,tl,yorme,62
word,tl,mutuals,62
word,tl,stans,61
word,tl,followers,60
word,tl,fellow,60
word,tl,freshies,60
word,tl,hits,60
word,tl,different,60
word,tl,when,60
word,tl,lmao,59
word,tl,iykyk,59
word,tl,appreciate,59
word,tl,period,59
word,tl,sheesh,58
word,tl,lowkey,58
word,tl,blockmates,57
word,tl,ganern,56
word,tl,tanga,55
word,tl,section,55
word,tl,kabatch,55
word,tl,labyu,55
word,tl,dormmates,55
word,tl,squad,54
word,tl,keep,53
word,tl,barkada,53
word,tl,serving,53
word,tl,looks,53
word,tl,giving,52
word,tl,charaught,52
word,tl,napakahusay,51
word,tl,absolutely,51
word,tl,batchmates,51
word,tl,gusto,50
word,tl,kaibigan,50
word,tl,maisip,50
word,tl,why,50
word,tl,ngl,50
word,tl,obsessed,50
word,tl,slaying,49
word,tl,tweet,48
word,tl,mood,48
word,tl,fandom,48
word,tl,vibing,48
word,tl,classmates,47
word,tl,such,47
word,tl,pala,46
word,tl,astig,46
word,tl,sophomores,45
word,tl,recommend,45
word,tl,just,43
word,tl,saying,43
word,tl,move,42
word,tl,about,41
word,tl,take,41
word,tl,team,41
word,tl,yarn,41
word,tl,mind,40
word,tl,not,40
word,tl,ulol,40
word,tl,bwiset,40
word,tl,literally,40
word,tl,cant,40
word,tl,even,40
word,tl,facts,40
word,tl,kayo,39
word,tl,groupmates,39
word,tl,nice,39
word,tl,rent,39
word,tl,free,39
word,tl,taking,38
word,tl,criticism,38
word,tl,orgmates,38
word,tl,hindi,37
word,tl,bakit,37
word,tl,ngayon,36
word,tl,nindot,36
word,tl,woah,36
word,tl,nga,35
word,tl,proud,34
word,tl,nakakaaliw,34
word,tl,lodi,33
word,tl,angat,33
word,tl,swabe,33
word,tl,kasi,32
word,tl,kung,31
word,tl,bobo,31
word,tl,kasing,31
word,tl,niyo,30
word,tl,witty,30
word,tl,need,30
word,tl,husay,30
word,tl,aprub,30
word,tl,alam,29
word,tl,dating,29
word,tl,sino,29
word,tl,maging,29
word,tl,saktongsakto,29
word,tl,din,28
word,tl,tarantado,28
word,tl,dito,27
word,tl,hehe,26
word,tl,angas,25
word,tl,pag,24
word,tl,daw,24
word,tl,kayangkaya,23
word,tl,siya,22
word,tl,kaya,21
word,tl,para,21
word,tl,lahat,21
word,tl,tong,21
word,tl,tapos,21
word,tl,kong,20
word,tl,gising,20
word,tl,dahil,19
word,tl,sayo,19
word,tl,haha,19
word,tl,day,19
word,tl,super,19
word,tl,ata,19
word,tl,mahal,19
word,tl,bilis,19
word,tl,hello,19
word,tl,kamusta,19
word,tl,here,18
word,tl,diba,18
word,tl,ikaw,17
word,tl,hirap,17
word,tl,class,17
word,tl,jusko,17
word,tl,pera,16
word,tl,today,16
word,tl,char,16
word,tl,pagod,16
word,tl,daming,15
word,tl,bestie,15
word,tl,jan,14
word,tl,ano,14
word,tl,bagong,14
word,tl,school,14
word,tl,nung,14
word,tl,huhu,14
word,tl,week,14
word,tl,sale,14
word,tl,store,14
word,tl,tulog,14
word,tl,mukha,13
word,tl,you,13
word,tl,nakita,13
word,tl,hanggang,13
word,tl,kanina,13
word,tl,traffic,13
word,tl,nakasale,13
word,tl,tara,13
word,tl,same,13
word,tl,shuta,13
word,tl,niya,12
word,tl,hahahaha,12
word,tl,whole,12
word,tl,miss,12
word,tl,bored,12
word,tl,growth,12
word,tl,kahit,11
word,tl,eme,11
word,tl,lol,11
word,tl,nila,11
word,tl,feeling,11
word,tl,parang,11
word,tl,hahaha,11
word,tl,nako,11
word,tl,nasa,11
word,tl,bilihin,11
word,tl,puta,11
word,tl,sabi,11
word,tl,laban,11
word,tl,noh,11
word,tl,acads,11
word,tl,gen,11
word,tl,expectations,11
word,tl,morning,11
word,tl,nakakaadik,11
word,tl,appgame,11
word,tl,productive,11
word,tl,mangga,11
word,tl,nakakatulog,11
word,tl,malakas,10
word,tl,nakikita,10
word,tl,sila,10
word,tl,socmed,10
word,tl,kapal,10
word,tl,yang,10
word,tl,inyo,10
word,tl,dyan,10
word,tl,nang,10
word,tl,rin,10
word,tl,wow,10
word,tl,shet,10
word,tl,sent,10
word,tl,nakakita,10
word,tl,rip,10
word,tl,wallet,10
word,tl,init,10
word,tl,panahon,10
word,tl,naka5,10
word,tl,cups,10
word,tl,iced,10
word,tl,mimiyuuuh,10
word,tl,bagal,10
word,tl,weekdays,10
word,tl,nagenroll,10
word,tl,7am,10
word,tl,hellooo,10
word,tl,fighting,10
word,tl,after,10
word,tl,random,10
word,tl,thought,10
word,tl,sweldo,10
word,tl,everyone,10
word,tl,pasok,10
word,tl,stream,10
word,tl,yaaass,10
word,tl,queenking,10
word,tl,relate,10
word,tl,mag,9
word,tl,kesa,9
word,tl,hoy,9
word,tl,nyo,9
word,tl,ung,9
word,tl,loko,9
word,tl,nag,9
word,tl,bago,9
word,tl,masabi,9
word,tl,tayo,9
word,tl,anong,9
word,tl,nandito,9
word,tl,putcha,9
word,tl,finally,9
word,tl,natry,9
word,tl,sushi,9
word,tl,bake,9
word,tl,worth,9
word,tl,gutom,9
word,tl,maguninstall,9
word,tl,announcements,9
word,tl,helloo,9
word,tl,newbie,9
word,tl,community,9
word,tl,yow,9
word,tl,pars,9
word,tl,ganap,9
word,tl,nanonood,9
word,tl,unbreak,9
word,tl,heart,9
word,tl,latest,9
word,tl,robot,9
word,tl,aral,9
word,tl,repeat,9
word,tl,wag,8
word,tl,walang,8
word,tl,mas,8
word,tl,hala,8
word,tl,punyeta,8
word,tl,putek,8
word,tl,nakalimutan,8
word,tl,magsubmit,8
word,tl,taragis,8
word,tl,umulan,8
word,tl,pauwi,8
word,tl,ctto,8
word,tl,sksksk,8
word,tl,shoes,8
word,tl,department,8
word,tl,wassup,8
word,tl,idol,8
word,tl,supportive,8
word,tl,journey,8
word,tl,murang,8
word,tl,kainan,8
word,tl,malapit,8
word,tl,katipunan,8
word,tl,penge,8
word,tl,reco,8
word,tl,sipag,8
word,tl,friend,8
word,tl,bukas,8
word,tl,forever,8
word,tl,pilipinas,7
word,tl,since,7
word,tl,nalang,7
word,tl,yun,7
word,tl,mall,7
word,tl,nanaman,7
word,tl,edi,7
word,tl,medyo,7
word,tl,more,7
word,tl,late,7
word,tl,klase,7
word,tl,prepared,7
word,tl,recitation,7
word,tl,natanggap,7
word,tl,ojt,7
word,tl,available,7
word,tl,seats,7
word,tl,library,7
word,tl,ngayong,7
word,tl,cute,7
word,tl,gagawin,7
word,tl,requirements,7
word,tl,shining,7
word,tl,mamaya,7
word,tl,skl,7
word,tl,magtrabaho,7
word,tl,cafe,7
word,tl,magaral,7
word,tl,ibang,6
word,tl,gastos,6
word,tl,kapatid,6
word,tl,anak,6
word,tl,nya,6
word,tl,kay,6
word,tl,rich,6
word,tl,high,6
word,tl,isang,6
word,tl,noon,6
word,tl,kayong,6
word,tl,mong,6
word,tl,matalo,6
word,tl,sakit,6
word,tl,sht,6
word,tl,view,6
word,tl,bundok,6
word,tl,chz,6
word,tl,ansaya,6
word,tl,lintik,6
word,tl,prefinals,6
word,tl,hay,6
word,tl,magadulting,6
word,tl,pupunta,6
word,tl,concert,6
word,tl,split,6
word,tl,gas,6
word,tl,makapaniwala,6
word,tl,stationery,6
word,tl,glorietta,6
word,tl,nahiya,6
word,tl,maghi,6
word,tl,power,6
word,tl,canned,6
word,tl,goods,6
word,tl,magaaral,6
word,tl,kahapon,6
word,tl,ulan,6
word,tl,province,6
word,tl,kakatapos,6
word,tl,panoorin,6
word,tl,documentary,6
word,tl,tungkol,6
word,tl,politics,6
word,tl,balita,6
word,tl,branch,6
word,tl,starbucks,6
word,tl,tapat,6
word,tl,edsa,6
word,tl,hours,6
word,tl,bus,6
word,tl,kala,5
word,tl,tlga,5
word,tl,baka,5
word,tl,mukhang,5
word,tl,buong,5
word,tl,tao,5
word,tl,app,5
word,tl,niyan,5
word,tl,kami,5
word,tl,crush,5
word,tl,switch,5
word,tl,mura,5
word,tl,shop,5
word,tl,one,5
word,tl,sakin,5
word,tl,kita,5
word,tl,nagmahal,5
word,tl,lola,5
word,tl,kaklase,5
word,tl,lazada,5
word,tl,laki,5
word,tl,last,5
word,tl,tangina,5
word,tl,besh,5
word,tl,sapatos,5
word,tl,simple,5
word,tl,3rd,5
word,tl,allnighter,5
word,tl,nagtaas,5
word,tl,pamasahe,5
word,tl,jeep,5
word,tl,dagdag,5
word,tl,magisip,5
word,tl,hey,5
word,tl,besties,5
word,tl,nakakaproud,5
phrase,en,this is,717
phrase,en,why is,689
phrase,en,lmao why,688
phrase,en,lmao why is,688
phrase,en,how good,602
phrase,en,sana all,462
phrase,en,main character,436
phrase,en,character energy,436
phrase,en,main character energy,436
phrase,en,thats the,424
phrase,en,living for,397
phrase,en,no cap,396
phrase,en,understood the,382
phrase,en,the assignment,382
phrase,en,understood the assignment,382
phrase,en,solid talaga,354
phrase,en,energy in,340
phrase,en,character energy in,340
phrase,en,facts about,335
phrase,en,i think,333
phrase,en,is so,331
phrase,en,literally cant,324
phrase,en,cant even,324
phrase,en,even with,324
phrase,en,with how,324
phrase,en,literally cant even,324
phrase,en,cant even with,324
phrase,en,even with how,324
phrase,en,with how good,324
phrase,en,thats fire,320
phrase,en,is giving,318
phrase,en,this is giving,318
phrase,en,lowkey love,314
phrase,en,ngl im,313
phrase,en,im obsessed,313
phrase,en,obsessed with,313
phrase,en,ngl im obsessed,313
phrase,en,im obsessed with,313
phrase,en,thats it,307
phrase,en,it thats,307
phrase,en,the post,307
phrase,en,thats it thats,307
phrase,en,it thats the,307
phrase,en,thats the post,307
phrase,en,im vibing,306
phrase,en,vibing with,306
phrase,en,im vibing with,306
phrase,en,absolutely living,304
phrase,en,absolutely living for,304
phrase,en,it hits,298
phrase,en,hits different,298
phrase,en,different when,298
phrase,en,it hits different,298
phrase,en,hits different when,298
phrase,en,galing ng,293
phrase,en,based take,293
phrase,en,take on,293
phrase,en,based take on,293
phrase,en,cap i,292
phrase,en,i appreciate,292
phrase,en,no cap i,292
phrase,en,cap i appreciate,292
phrase,en,apaka galing,287
phrase,en,apaka galing ng,287
phrase,en,assignment with,286
phrase,en,the assignment with,286
phrase,en,may dating,280
phrase,en,dating yung,280
phrase,en,may dating yung,280
phrase,en,all kasing,279
phrase,en,kasing husay,279
phrase,en,husay ng,279
phrase,en,sana all kasing,279
phrase,en,all kasing husay,279
phrase,en,kasing husay ng,279
phrase,en,im shook,277
phrase,en,shook at,277
phrase,en,at how,277
phrase,en,im shook at,277
phrase,en,shook at how,277
phrase,en,at how good,277
phrase,en,talaga yung,274
phrase,en,solid talaga yung,273
phrase,en,such a,270
phrase,en,is such,267
phrase,en,a mood,267
phrase,en,this is such,267
phrase,en,is such a,267
phrase,en,such a mood,267
phrase,en,twitter dramas,261
phrase,en,dorm life,256
phrase,en,genshin impact,253
phrase,en,online classes,251
phrase,en,nakakaaliw yung,250
phrase,en,coffee shops,247
phrase,en,mobile legends,244
phrase,en,angat sa,242
phrase,en,grabe yung,239
phrase,en,relationship drama,236
phrase,en,petmalu yung,236
phrase,en,new music,235
phrase,en,group projects,231
phrase,en,weekend parties,226
phrase,en,viral challenges,225
phrase,en,campus events,222
phrase,en,fashion trends,218
phrase,en,netflix shows,216
phrase,en,astig talaga,207
phrase,en,wala akong,189
phrase,en,akong maisip,189
phrase,en,wala akong maisip,189
phrase,en,solid yarn,178
phrase,en,apaka nice,174
phrase,en,pak ganern,173
phrase,en,mo yan,135
phrase,en,deserve mo,134
phrase,en,deserve mo yan,134
phrase,en,g na,132
phrase,en,na g,132
phrase,en,g na g,132
phrase,en,is the,125
phrase,en,keep slaying,125
phrase,en,we need,123
phrase,en,this is the,123
phrase,en,charot lang,121
phrase,en,the energy,121
phrase,en,energy we,121
phrase,en,is the energy,121
phrase,en,the energy we,121
phrase,en,energy we need,121
phrase,en,kayangkaya talaga,118
phrase,en,the tweet,117
phrase,en,thats the tweet,117
phrase,en,and astig,114
phrase,en,legit talaga,113
phrase,en,lodi talaga,106
phrase,en,not taking,106
phrase,en,taking criticism,106
phrase,en,criticism rn,106
phrase,en,not taking criticism,106
phrase,en,taking criticism rn,106
phrase,en,swabe talaga,106
phrase,en,just saying,102
phrase,en,galing talaga,101
phrase,en,lit talaga,100
phrase,en,nindot talaga,99
phrase,en,petmalu talaga,99
phrase,en,serving looks,97
phrase,en,fr fr,96
phrase,en,aprub talaga,96
phrase,en,in my,95
phrase,en,for this,94
phrase,en,rent free,94
phrase,en,free in,94
phrase,en,my mind,94
phrase,en,rent free in,94
phrase,en,free in my,94
phrase,en,in my mind,94
phrase,en,living for this,93
phrase,en,bruh im,91
phrase,en,1010 recommend,91
phrase,en,angas talaga,90
phrase,en,bruh this,90
phrase,en,bruh this is,90
phrase,en,sobrang astig,90
phrase,en,saktongsakto talaga,89
phrase,en,woah talaga,89
phrase,en,srsly this,86
phrase,en,srsly this is,86
phrase,en,ang astig,83
phrase,en,guys this,82
phrase,en,guys this is,82
phrase,en,and lit,81
phrase,en,witty talaga,80
phrase,en,we move,78
phrase,en,guys im,74
phrase,en,so clean,71
phrase,en,lit and,69
phrase,en,so goals,66
phrase,en,and legit,65
phrase,en,so lit,62
phrase,en,so iconic,62
phrase,en,talaga this,62
phrase,en,talaga this is,62
phrase,en,so fire,61
phrase,en,so elite,61
phrase,en,srsly literally,61
phrase,en,srsly literally cant,61
phrase,en,so goated,60
phrase,en,talaga keep,60
phrase,en,talaga keep slaying,60
phrase,en,so legit,59
phrase,en,so bussin,59
phrase,en,so peak,58
phrase,en,and petmalu,58
phrase,en,sobrang swabe,57
phrase,en,sembreak sembreak,57
phrase,en,so dope,56
phrase,en,fire and,56
phrase,en,bruh facts,56
phrase,en,bruh facts about,56
phrase,en,srsly absolutely,56
phrase,en,srsly absolutely living,56
phrase,en,omg may,56
phrase,en,omg may dating,56
phrase,en,omg sana,55
phrase,en,omg sana all,55
phrase,en,and woah,55
phrase,en,talaga just,55
phrase,en,talaga just saying,55
phrase,en,guys absolutely,55
phrase,en,guys absolutely living,55
phrase,en,and swabe,54
phrase,en,so vibe,54
phrase,en,goalaf goalaf,54
phrase,en,nofilter nofilter,54
phrase,en,fresh and,54
phrase,en,midtermseason midtermseason,53
phrase,en,talaga fr,53
phrase,en,talaga fr fr,53
phrase,en,based and,53
phrase,en,clean and,53
phrase,en,sobrang saktongsakto,52
phrase,en,so sick,52
phrase,en,omg solid,52
phrase,en,omg solid talaga,52
phrase,en,so undefeated,52
phrase,en,sobrang kayangkaya,52
phrase,en,srsly im,52
phrase,en,srsly im vibing,52
phrase,en,pinoypride pinoypride,52
phrase,en,ang galing,51
phrase,en,bruh main,51
phrase,en,bruh main character,51
phrase,en,finals finals,51
phrase,en,guys main,51
phrase,en,guys main character,51
phrase,en,omg apaka,51
phrase,en,omg apaka galing,51
phrase,en,bruh im shook,50
phrase,en,bruh literally,50
phrase,en,bruh literally cant,50
phrase,en,bruh lowkey,50
phrase,en,bruh lowkey love,50
phrase,en,so based,50
phrase,en,talaga no,50
phrase,en,talaga no cap,50
phrase,en,ang kayangkaya,50
phrase,en,talaga rent,50
phrase,en,talaga rent free,50
phrase,en,sobrang legit,50
phrase,en,talaga main,49
phrase,en,talaga main character,49
phrase,en,and lodi,49
phrase,en,talaga thats,49
phrase,en,talaga thats the,49
phrase,en,talaga iykyk,49
phrase,en,bestlife bestlife,49
phrase,en,legit and,49
phrase,en,and solid,49
phrase,en,talaga period,49
phrase,en,weekendvibes weekendvibes,49
phrase,en,sobrang solid,49
phrase,en,passingthevibe passingthevibe,49
phrase,en,omg nakakaaliw,48
phrase,en,omg nakakaaliw yung,48
phrase,en,bruh no,48
phrase,en,bruh no cap,48
phrase,en,so satisfying,48
phrase,en,talaga serving,48
phrase,en,talaga serving looks,48
phrase,en,classof2025 classof2025,48
phrase,en,and angas,48
phrase,en,guys literally,48
phrase,en,guys literally cant,48
phrase,en,omg petmalu,48
phrase,en,omg petmalu yung,48
phrase,en,omg grabe,47
phrase,en,omg grabe yung,47
phrase,en,talaga understood,47
phrase,en,talaga understood the,47
phrase,en,srsly understood,47
phrase,en,srsly understood the,47
phrase,en,universitylife universitylife,47
phrase,en,and galing,47
phrase,en,yung genshin,46
phrase,en,yung genshin impact,46
phrase,en,valid and,46
phrase,en,ang petmalu,46
phrase,en,sobrang petmalu,46
phrase,en,dope and,45
phrase,en,and nindot,45
phrase,en,bruh slayed,45
phrase,en,elite and,45
phrase,en,ang angas,45
phrase,en,sobrang woah,45
phrase,en,and witty,45
phrase,en,talaga not,45
phrase,en,talaga not taking,45
phrase,en,bruh ngl,45
phrase,en,bruh ngl im,45
phrase,en,ang witty,45
phrase,en,srsly main,45
phrase,en,srsly main character,45
phrase,en,sobrang nindot,45
phrase,en,so fresh,45
phrase,en,srsly no,45
phrase,en,srsly no cap,45
phrase,en,studentlife studentlife,44
phrase,en,srsly lowkey,44
phrase,en,srsly lowkey love,44
phrase,en,talaga 1010,44
phrase,en,talaga 1010 recommend,44
phrase,en,guys thats,44
phrase,en,guys thats fire,44
phrase,en,sick and,44
phrase,en,bruh based,44
phrase,en,bruh based take,44
phrase,en,srsly facts,44
phrase,en,srsly facts about,44
phrase,en,yooo may,43
phrase,en,yooo may dating,43
phrase,en,and aprub,43
phrase,en,so valid,43
phrase,en,ang lodi,43
phrase,en,ang solid,43
phrase,en,yooo apaka,42
phrase,en,yooo apaka galing,42
phrase,en,bussin and,42
phrase,en,ang woah,42
phrase,en,talaga living,42
phrase,en,talaga living for,42
phrase,en,sobrang angas,42
phrase,en,ang nindot,42
phrase,en,collegedays collegedays,42
phrase,en,bruh im vibing,41
phrase,en,sobrang witty,41
phrase,en,trendingnow trendingnow,41
phrase,en,goated and,41
phrase,en,goals and,41
phrase,en,yooo nakakaaliw,41
phrase,en,yooo nakakaaliw yung,41
phrase,en,yung anime,40
phrase,en,bruh thats,40
phrase,en,bruh thats fire,40
phrase,en,guys ngl,40
phrase,en,guys ngl im,40
phrase,en,peak and,40
phrase,en,ang lit,40
phrase,en,srsly thats,40
phrase,en,srsly thats fire,40
phrase,en,yooo grabe,40
phrase,en,yooo grabe yung,40
phrase,en,astig and,40
