comment,toxicity_level,insult,profanity,threat,identity_hate
Srsly I'm vibing with online classes. Ang astig!!! #OOTD,0,0,0,0,0
Bruh Main character energy in scholarships. nindot talaga!,0,0,0,0,0
bruh based take on streaming astig talaga,0,0,0,0,0
Low-key love SB19. Sobrang petmalu! Deserve mo 'yan!,0,0,0,0,0
"No cap, I appreciate anime. elite and galing! #CollegeDays",0,0,0,0,0
Yooo Pak na pak ang memes. legit af!!! Wala akong maisip! #MidtermSeason,0,0,0,0,0
Apaka galing ng professors. Very bussin! Keep slaying! #ClassOf2025,0,0,0,0,0
Understood the assignment with group projects. witty talaga! Living for this! #SemBreak,0,0,0,0,0
bruh based take on esports. angas talaga!,0,0,0,0,0
"NGL, I'm obsessed with online classes. Sobrang woah! Wala akong maisip! #CollegeDays",0,0,0,0,0
"Omg Naur, ang ganda ng Mobile Legends! Period! #PassingTheVibe",0,0,0,0,0
Yooo Awit sa galing NG fashion trends. elite af!! Naol!,0,0,0,0,0
Guys!! Absolutely living for majors! Wala akong maisip! #Finals,0,0,0,0,0
Main character energy in Blackpink #OOTD #OOTD,0,0,0,0,0
srsly absolutely living for genshin impact. ang lodi! #sembreak,0,0,0,0,0
Yooo Angat SA thesis. lit af! Pak GANERN!,0,0,0,0,0
lmao why is new music so based? apaka nice!,0,0,0,0,0
facts about memes. petmalu talaga! main character energy!,0,0,0,0,0
Angat sa Netflix shows. legit talaga! G na G!,0,0,0,0,0
Omg Sana all kasing husay ng graduation! PERIOD! #TWENTYTWENTYFIVE,0,0,0,0,0
Omg Grabe yung P-pop! That's the tweet. #OOTD,0,0,0,0,0
Yooo May dating yung basketball. legit af! Labyu!,0,0,0,0,0
Slayed viral challenges. aprub talaga! That's the tweet.,0,0,0,0,0
Bruh Based take on Netflix shows. woah talaga! #NoFilter,0,0,0,0,0
I think esports is so goals!! Solid talaga yung kaibigan.,0,0,0,0,0
Low-key love K-pop. aprub talaga!! Understood the assignment!,0,0,0,0,0
Bruh Literally can't even with how good professors. KAYANG-KAYA TALAGA!,0,0,0,0,0
Sino may alam ng murang kainan malapit sa Katipunan? Penge reco,0,0,0,0,0
BRUH This is giving esports. LODI talaga!,0,0,0,0,0
"Sa tingin ko, valid ang esports! Stan groupmates.",0,0,0,0,0
May dating yung esports. peak talaga! Charaught!,0,0,0,0,0
Bruh Based take on Twitter dramas. petmalu talaga!,0,0,0,0,0
DORM life that's it that's the POST,0,0,0,0,0
Lmao why is PUBG so legit? G na G!,0,0,0,0,0
absolutely living for viral challenges sobrang astig sana all,0,0,0,0,0
It hits different when relationship drama. based and solid!! #UniversityLife,0,0,0,0,0
Omg Sana all kasing husay ng memes! Serving looks! #Finals,0,0,0,0,0
I think P-pop is so fire! Solid talaga yung squad.,0,0,0,0,0
GUYS!! Absolutely living for graduation! CHARAUGHT! #BestLife,0,0,0,0,0
"Sa tingin ko, peak ang relationship drama! NGL, I'm obsessed with fandom.",0,0,0,0,0
Lmao why is P-pop so legit? Sheesh! #CollegeDays,0,0,0,0,0
srsly facts about professors. ang woah! #passingthevibe,0,0,0,0,0
"Sa tingin ko, iconic ang Netflix shows! Based take on freshies.",0,0,0,0,0
Low-key love basketball. SOBRANG nindot! ITO na talaga! #GoalAF,0,0,0,0,0
I'm vibing with majors. Sobrang swabe! Awit!,0,0,0,0,0
"sa tingin ko, elite ang twitter dramas! i'm vibing with mga katropa.",0,0,0,0,0
Facts about scholarships #NoFilter #NoFilter,0,0,0,0,0
It hits different when relationship drama. Sobrang woah!!!! G na G!,0,0,0,0,0
Yooo Petmalu yung TikTok. goated af! G na G!,0,0,0,0,0
yooo g na g ako sa exams. sick af! labyu!,0,0,0,0,0
"NGL, I'm obsessed WITH fashion trends. sick and LODI! #StudentLife",0,0,0,0,0
Lmao why is online CLASSES so peak? Charot LANG!,0,0,0,0,0
Yooo Angat sa BTS. legit af! G na G! #PinoyPride,0,0,0,0,0
Bruh This is giving Netflix SHOWS. petmalu TALAGA!,0,0,0,0,0
omg awit sa galing ng sb19! we move! #studentlife,0,0,0,0,0
"Bruh No cap, I appreciate Genshin Impact. astig talaga!",0,0,0,0,0
Yooo Ang lit ng internships. sick af! Yorme! #PassingTheVibe,0,0,0,0,0
Ang lit ng scholarships. satisfying talaga!!! Yorme! #UniversityLife,0,0,0,0,0
That's fire Netflix shows. ANGAS talaga! Just SAYING!,0,0,0,0,0
angat sa esports. solid and iconic! #ootd,0,0,0,0,0
I'm vibing with Netflix shows #SemBreak #SemBreak,0,0,0,0,0
"Omg Naur, ang ganda ng new music!! This is the energy we need! #ClassOf2025",0,0,0,0,0
"Sa tingin ko, based ang exams! Literally can't even with how good batchmates.",0,0,0,0,0
Angat sa TikTok. astig and undefeated! #BestLife,0,0,0,0,0
Nakakaaliw yung group projects. woah and valid! #PassingTheVibe,0,0,0,0,0
Bet ko yung SB19. vibe talaga! Yorme!,0,0,0,0,0
Literally can't even with how good TikTok. goated and kayang-kaya! #TrendingNow,0,0,0,0,0
Stan Mobile Legends #PassingTheVibe #PassingTheVibe,0,0,0,0,0
"no cap, i appreciate volleyball. sobrang angas!! solid yarn! #StudentLife",0,0,0,0,0
lmao why is streaming so fresh? deserve mo 'yan #WeekendVibes,0,0,0,0,0
"Sa tingin ko, clean ang fashion trends!! I'm vibing with section.",0,0,0,0,0
nakakaaliw yung scholarships. lit talaga! sheesh!,0,0,0,0,0
bruh based take on mobile legends. witty talaga!!!,0,0,0,0,0
Srsly Main character energy in Netflix shows. Ang galing! #OOTD,0,0,0,0,0
Srsly Main character energy in basketball. Ang lodi! #UniversityLife,0,0,0,0,0
"I think K-pop is SO DOPE! Naur, ang ganda ng batchmates.",0,0,0,0,0
May dating yung memes. based talaga! Wala akong maisip! #SemBreak,0,0,0,0,0
i think relationship drama is so lit!!!! petmalu yung barkada.,0,0,0,0,0
tiktok that's it that's the post #CollegeDays,0,0,0,0,0
This is such a mood anime. vibe and lodi! #SemBreak,0,0,0,0,0
"NGL, I'm obsessed with PUBG. solid talaga! Main character energy!",0,0,0,0,0
Nakakaaliw yung K-pop. satisfying talaga! Deserve mo 'yan! #MidtermSeason,0,0,0,0,0
Shining ka diba talaga today! Love it huhu,0,0,0,0,0
This is such a mood basketball. angas talaga! Keep slaying! #TrendingNow,0,0,0,0,0
Guys!!!!! Main character energy in thesis! Awit!,0,0,0,0,0
This is such a mood K-pop. Sobrang angas! Deserve mo 'yan!,0,0,0,0,0
Omg Angat sa graduation! Living FOR this! #ClassOf2025,0,0,0,0,0
That's fire fashion trends #ClassOf2025 #ClassOf2025,0,0,0,0,0
Lmao why is dorm life so peak? Awit!,0,0,0,0,0
Twitter dramas that's it THAT'S THE post,0,0,0,0,0
Hey besties! Miss ko na kayo,0,0,0,0,0
Main character energy in dorm life. angas talaga! This is the energy we need! #SemBreak,0,0,0,0,0
Omg May dating yung P-pop! Understood the assignment! #GoalAF,0,0,0,0,0
Srsly Slayed Netflix SHOWS. Ang LEGIT!!!! #GoalAF,0,0,0,0,0
based take on dorm life. undefeated and astig!! #nofilter,0,0,0,0,0
Angat sa majors. solid and undefeated!!!! #SemBreak,0,0,0,0,0
Low-key LOVE group projects. VALID and kayang-kaya! #MidtermSeason,0,0,0,0,0
Awit sa galing ng basketball. sick talaga! Naol!,0,0,0,0,0
May dating yung PROFESSORS. SICK talaga! Naol!,0,0,0,0,0
Srsly It hits different when new music. Ang galing! #GoalAF,0,0,0,0,0
Lmao why IS fashion trends so SATISFYING? Naol!,0,0,0,0,0
Bruh Literally can't even with HOW good ONLINE classes. swabe talaga!,0,0,0,0,0
Low-key love professors #BestLife #BestLife,0,0,0,0,0
Bruh I'm vibing with P-pop. swabe talaga!,0,0,0,0,0
Lmao why is anime so bussin? Napakahusay! #CollegeDays,0,0,0,0,0
Guys!! It hits different when TikTok! Wala akong maisip!,0,0,0,0,0
THAT'S fire Genshin Impact #TWENTYTWENTYFIVE #TwentyTwentyFive,0,0,0,0,0
Lmao why is coffee shops so goated? Pak ganern! #ClassOf2025,0,0,0,0,0
Omg Awit sa galing ng scholarships! Just saying! #ClassOf2025,0,0,0,0,0
"Nagtaas na naman ang pamasahe ng jeep, dagdag gastos nanaman",0,0,0,0,0
Angat sa PUBG. Very vibe! 10/10 recommend!,0,0,0,0,0
Apaka galing ng esports. Very vibe!!!! Understood the assignment!,0,0,0,0,0
TikTok that's it that's the post #GoalAF,0,0,0,0,0
"Yes girl! Go for it, deserve mo yan chz",0,0,0,0,0
Bruh THAT'S fire Genshin Impact. WITTY talaga!,0,0,0,0,0
Sana all kasing husay ng exams. Very bussin! Main character energy!,0,0,0,0,0
"Sa tingin ko, elite ang PUBG! Slayed team.",0,0,0,0,0
Omg Apaka galing ng TikTok! Living for this! #NoFilter,0,0,0,0,0
Nakakamiss din pala mag f2f class nga minsan,0,0,0,0,0
"Heyyy, sino online ngayon? Bored ako eh",0,0,0,0,0
Omg Bet ko yung BTS!!! 10/10 recommend! #BestLife,0,0,0,0,0
Slayed Genshin Impact. Sobrang astig! Charaught!,0,0,0,0,0
Yooo Grabe yung weekend parties. fire af! Napakahusay!,0,0,0,0,0
Slay naman ang volleyball. bussin talaga!! Sheesh!,0,0,0,0,0
"Sa tingin ko, satisfying ang weekend parties! Based take on team.",0,0,0,0,0
awit sa galing ng dorm life very undefeated fr fr,0,0,0,0,0
main character energy in internships swabe talaga iykyk,0,0,0,0,0
"No cap, I APPRECIATE scholarships. Sobrang angas! LABYU!",0,0,0,0,0
"NGL, I'm obsessed with Netflix shows. Sobrang legit! Solid yarn! #WeekendVibes",0,0,0,0,0
THIS is such a mood relationship drama. Sobrang swabe! G NA G! #PassingTheVibe,0,0,0,0,0
"Sa tingin ko, elite ang PUBG! Literally can't even with how good batchmates. #PassingTheVibe",0,0,0,0,0
lmao why is memes so dope? labyu,0,0,0,0,0
It hits different when K-pop. elite and witty! #OOTD,0,0,0,0,0
lmao why is group projects so bussin? naol #BestLife,0,0,0,0,0
I think scholarships is so undefeated! Grabe yung orgmates. #PassingTheVibe,0,0,0,0,0
"Sa tingin ko, vibe ang coffee shops!!! This is giving dormmates. #StudentLife",0,0,0,0,0
Absolutely living for anime #SemBreak #SemBreak,0,0,0,0,0
"Sa tingin ko, dope ang Valorant! NGL, I'm obsessed with mutuals.",0,0,0,0,0
"Sa tingin ko, undefeated ang new music! It hits different when fellow majors.",0,0,0,0,0
"Sa tingin ko, peak ang P-pop!!! Facts about squad.",0,0,0,0,0
G na G ako sa K-pop. lit and fresh! #SemBreak,0,0,0,0,0
ang lit ng fashion trends. fire talaga! pak ganern! #MidtermSeason,0,0,0,0,0
low-key love new music. witty talaga! keep slaying! #Finals,0,0,0,0,0
This is giving P-pop #NoFilter #NoFilter,0,0,0,0,0
"i think basketball is so fire!!! naur, ang ganda ng barkada.",0,0,0,0,0
I think SB19 is so based!!! Angat sa freshies.,0,0,0,0,0
That's fire PUBG. aprub talaga! That's the tweet.,0,0,0,0,0
Yooo Grabe yung graduation. goals af! Sheesh!,0,0,0,0,0
Awit sa galing ng Mobile Legends. Very fresh! This is the energy we need!,0,0,0,0,0
May dating yung Blackpink. Very peak! Understood the assignment! #PassingTheVibe,0,0,0,0,0
srsly this is giving graduation. ang angas! #pinoypride,0,0,0,0,0
Sana all kasing husay ng streaming. Very satisfying!!! Understood the assignment! #TwentyTwentyFive,0,0,0,0,0
Omg Ang lit ng SB19! Rent free in my mind! #WeekendVibes,0,0,0,0,0
Guys!! Understood the assignment WITH streaming! Charaught!,0,0,0,0,0
I'm shook at how good campus events. witty talaga! Fr fr!,0,0,0,0,0
Bet ko yung SB19. Very fire!! That's the tweet.,0,0,0,0,0
Guys!! It hits DIFFERENT when RELATIONSHIP drama! Awit!,0,0,0,0,0
Omg Slay naman ang K-pop! Fr fr! #PinoyPride,0,0,0,0,0
Nakakaaliw yung K-pop. Very sick! Serving looks! #TrendingNow,0,0,0,0,0
Srsly I'm shook at how good coffee shops. Ang nindot! #MidtermSeason,0,0,0,0,0
Ang init ng panahon ngayon! Naka-5 cups na ako ng iced coffee eme,0,0,0,0,0
angat sa streaming. satisfying talaga! naol! #TwentyTwentyFive,0,0,0,0,0
Grabe yung PUBG. Very fire! Understood the assignment!,0,0,0,0,0
LMAO why is Mobile Legends so goals? CHAROT lang!,0,0,0,0,0
"Mag-aaral na talaga ako bukas. Char, sabi ko din yan kahapon",0,0,0,0,0
It hits different WHEN K-pop. goals and SOLID! #PinoyPride,0,0,0,0,0
Slay lang kasi ng slay! You deserve it,0,0,0,0,0
THIS is such a mood ANIME. galing talaga!!! Serving looks! #NoFilter,0,0,0,0,0
Slayed K-pop. sick and astig! #NoFilter,0,0,0,0,0
i'm vibing with netflix shows clean and lodi #passingthevibe,0,0,0,0,0
Pak na pak ang WEEKEND parties. Very iconic!!! Living for this! #OOTD,0,0,0,0,0
It hits different when weekend parties. fire and astig! #ClassOf2025,0,0,0,0,0
Literally can't even with how good coffee shops #ClassOf2025 #ClassOf2025,0,0,0,0,0
Low-key love relationship drama. Sobrang witty!! Pak ganern! #UniversityLife,0,0,0,0,0
g na g ako sa majors. very undefeated!!! that's the tweet.,0,0,0,0,0
Yooo Pak na pak ang new music. valid af! Napakahusay!,0,0,0,0,0
Absolutely living for esports. Sobrang lodi! G na G!,0,0,0,0,0
Srsly Literally can't even with how good Mobile Legends. Ang galing! #PinoyPride,0,0,0,0,0
Bruh This is such a mood majors. angas talaga!!! #TwentyTwentyFive,0,0,0,0,0
omg ang lit ng online classes! iykyk! #weekendvibes,0,0,0,0,0
"I think scholarships is so goated! Naur, ang ganda ng followers.",0,0,0,0,0
Bruh Low-key love K-pop. petmalu talaga!,0,0,0,0,0
Absolutely living for Netflix shows. kayang-kaya talaga! RENT free in my MIND!,0,0,0,0,0
Lmao why is majors so bussin? Yorme!,0,0,0,0,0
I think coffee shops is so elite! Slay naman ang section.,0,0,0,0,0
Guys!! Low-key love Twitter dramas! Sheesh! #NoFilter,0,0,0,0,0
Omg Apaka galing ng streaming! This is the energy we need! #MidtermSeason,0,0,0,0,0
Based take on memes. astig talaga! UNDERSTOOD THE assignment!,0,0,0,0,0
omg slay naman ang mobile legends! we move! #trendingnow,0,0,0,0,0
"I mean sure, the business has to make a profit so it does make sense that they would buy low and sell high.

Pero the stupid thing here is that gumawa pa sila ng content :))) **Sobrang cringe** na ginawan pa nila ng discussion. Tinawag pa nilang ""haters"" yung mga pumupuna sa kanila. 

Puwede naman tumahimik na lang eh. Sobrang cringe lang ng mga business owners na nagpapaka-influencer.",0,0,0,0,0
"NGL, I'm obsessed with anime. astig talaga! We move!",0,0,0,0,0
Bruh Stan streaming. swabe talaga!,0,0,0,0,0
that's fire graduation. saktong-sakto talaga!!!! keep slaying!,0,0,0,0,0
Lmao why is scholarships so based? G na G!,0,0,0,0,0
Lmao why is scholarships so bussin? Awit!,0,0,0,0,0
Yooo Nakakaaliw yung basketball. dope af!!!! G na G!,0,0,0,0,0
Omg Nakakaaliw yung online classes! Fr fr! #MidtermSeason,0,0,0,0,0
Lmao why is Twitter dramas so sick? Wala akong maisip!,0,0,0,0,0
Netflix SHOWS that's it that's the post #SemBreak,0,0,0,0,0
Lmao why is TikTok so valid? Awit!,0,0,0,0,0
"Sa tingin ko, valid ang group PROJECTS!! No cap, I appreciate kabatch.",0,0,0,0,0
Damn bro whatâ€™s their TikTok,0,0,0,0,0
Bruh Literally can't even with HOW GOOD TikTok. nindot talaga! #PinoyPride,0,0,0,0,0
I think volleyball is so legit! Nakakaaliw yung barkada. #PinoyPride,0,0,0,0,0
THIS is such a mood GROUP projects. Sobrang petmalu! Labyu!,0,0,0,0,0
Grabe yung graduation. galing and fresh! #WeekendVibes,0,0,0,0,0
Absolutely living for fashion trends. Sobrang lit! Yorme!,0,0,0,0,0
Bruh I'm vibing with TikTok. kayang-kaya talaga!,0,0,0,0,0
Omg Awit sa galing ng relationship drama! Main character energy! #SemBreak,0,0,0,0,0
Solid talaga yung weekend parties. undefeated talaga! Pak ganern! #BestLife,0,0,0,0,0
Srsly Slayed exams. Ang aprub! #WeekendVibes,0,0,0,0,0
ANG LIT ng Twitter dramas. sick talaga!! Pak ganern!,0,0,0,0,0
Slayed Blackpink #PassingTheVibe #PassingTheVibe,0,0,0,0,0
Deserve mo yan bestie! Go lang,0,0,0,0,0
Yooo Sana all kasing husay ng dorm life. sick af! Charot lang!,0,0,0,0,0
"No cap, I appreciate Blackpink. Sobrang lodi! Charot LANG! #WeekendVibes",0,0,0,0,0
awit sa galing ng tiktok very sick understood the assignment #CollegeDays,0,0,0,0,0
That's fire streaming #TwentyTwentyFive #TwentyTwentyFive,0,0,0,0,0
Slayed Blackpink. Sobrang saktong-sakto! Naol!,0,0,0,0,0
Stan coffee shops. petmalu talaga! This is the energy we need! #NoFilter,0,0,0,0,0
Guys!! That's fire relationship drama! Apaka nice!,0,0,0,0,0
"NGL, I'm obsessed with streaming. fresh and petmalu! #SemBreak",0,0,0,0,0
I think anime is so goals!! May dating yung orgmates. #WeekendVibes,0,0,0,0,0
Ang lit ng esports. vibe talaga! Napakahusay!,0,0,0,0,0
"Guys!! No cap, I appreciate relationship drama! Naol!",0,0,0,0,0
omg pak na pak ang esports! main character energy! #nofilter,0,0,0,0,0
Bruh Main character energy in anime. legit talaga!,0,0,0,0,0
Awit sa galing ng P-pop. Very fire! Main character energy!,0,0,0,0,0
Apaka galing NG scholarships. VERY legit! Serving looks!,0,0,0,0,0
angat sa esports. peak talaga! wala akong maisip! #TrendingNow,0,0,0,0,0
"Minsan hirap din kasi sa buyers, gusto maka experience ng mamahaling gadgets like that pero hindi naman kaya ng budget. Kaya marami rin nasscam eh. Kasi kagat kaagad sa mababang halaga. Tapos kaya ang hirap din magbenta ng second hand items na good condition pa kasi babaratin sobra, ikaw pa pagsasalitaan pag di nila makuha presyong gusto nila",0,0,0,0,0
ANGAT sa online classes. nindot and goals! #GOALAF,0,0,0,0,0
aw ka cute naman nila ,0,0,0,0,0
G na G ako sa basketball. galing and goated! #SemBreak,0,0,0,0,0
Srsly I'm vibing with professors. Ang galing! #UniversityLife,0,0,0,0,0
may dating yung anime. vibe talaga! naol! #StudentLife,0,0,0,0,0
Srsly This is giving streaming. Ang witty! #WeekendVibes,0,0,0,0,0
Absolutely living for professors #SEMBREAK #SEMBREAK,0,0,0,0,0
Bruh I'm shook AT HOW good PUBG. angas talaga! #ClassOf2025,0,0,0,0,0
Yooo May dating yung Mobile Legends. legit af!! Wala akong maisip! #CollegeDays,0,0,0,0,0
Gusto ko na lang maging mangga. Nakakatulog whole day jk,0,0,0,0,0
BASKETBALL that's it that's the POST #OOTD,0,0,0,0,0
I'm vibing with coffee shops #CollegeDays #CollegeDays,0,0,0,0,0
Nakakaaliw YUNG online CLASSES. Very fire! Serving looks!,0,0,0,0,0
omg apaka galing ng new music! no cap! #trendingnow,0,0,0,0,0
I THINK Valorant IS so valid! Apaka galing ng classmates.,0,0,0,0,0
Main character energy in Blackpink #NoFilter #NoFilter,0,0,0,0,0
Slay naman ang online classes. lodi AND SATISFYING! #PinoyPride,0,0,0,0,0
Srsly Facts about Netflix shows. Ang galing! #Finals,0,0,0,0,0
Omg Sana all kasing husay ng esports!!! RENT free in my mind! #CollegeDays,0,0,0,0,0
This is such a mood internships. Sobrang legit! Labyu!,0,0,0,0,0
Guys!!! Absolutely living for fashion trends! Wala akong maisip!,0,0,0,0,0
THIS IS such a mood professors. Sobrang angas! Labyu!,0,0,0,0,0
apaka galing ng viral challenges. aprub and valid! #twentytwentyfive,0,0,0,0,0
Absolutely living for thesis. Sobrang nindot! Sana all!,0,0,0,0,0
"Omg NAUR, ang ganda ng volleyball! Just SAYING! #StudentLife",0,0,0,0,0
Solid talaga yung Genshin Impact. undefeated talaga! Wala akong maisip!,0,0,0,0,0
This is such a mood coffee shops. satisfying and witty! #PinoyPride,0,0,0,0,0
Omg Bet ko yung memes!! No cap! #NoFilter,0,0,0,0,0
"Sa tingin ko, vibe ang esports! Stan followers.",0,0,0,0,0
Omg Apaka galing ng SB19!! This is the energy we need! #GoalAF,0,0,0,0,0
Lmao why is group projects so clean? Pak ganern!,0,0,0,0,0
coffee shops that's it that's the post #CollegeDays,0,0,0,0,0
Bruh I'm shook at how good thesis. swabe talaga!,0,0,0,0,0
Srsly Low-key love weekend parties. Ang astig! #SemBreak,0,0,0,0,0
bet ko yung mobile legends. peak talaga!!!! labyu!,0,0,0,0,0
It hits different WHEN K-pop. saktong-sakto TALAGA! Not taking criticism rn.,0,0,0,0,0
yooo nakakaaliw yung professors peak af labyu #Finals,0,0,0,0,0
"No cap, I appreciate new music. Sobrang astig! Labyu!",0,0,0,0,0
Omg G na G ako sa thesis! 10/10 recommend! #GoalAF,0,0,0,0,0
Stan relationship drama. galing talaga!! No cap! #CollegeDays,0,0,0,0,0
Hello po sa mga OG followers ni Mimiyuuuh,0,0,0,0,0
Lmao why is volleyball so bussin? Labyu!,0,0,0,0,0
I think volleyball is so satisfying! Bet ko yung barkada.,0,0,0,0,0
Omg Petmalu yung volleyball! Not taking criticism rn. #ClassOf2025,0,0,0,0,0
Sana all kasing husay ng basketball. lodi and bussin! #WeekendVibes,0,0,0,0,0
Guys!! Low-key love streaming! Deserve mo 'yan!,0,0,0,0,0
"No cap, I appreciate Netflix SHOWS. PETMALU talaga! This is the energy we need!",0,0,0,0,0
Shuta ang galing mo talaga! Stan diba forever,0,0,0,0,0
srsly this is giving weekend parties. ang astig! #midtermseason,0,0,0,0,0
LMAO why is Mobile LEGENDS so valid? Naol!!!!,0,0,0,0,0
Slay naman ang esports. angas and iconic!!! #MidtermSeason,0,0,0,0,0
Valorant that's it that's the post #TwentyTwentyFive,0,0,0,0,0
Grabe yung thesis. petmalu and elite! #SemBreak,0,0,0,0,0
"NGL, I'm obsessed with majors. satisfying and petmalu!! #OOTD",0,0,0,0,0
Literally can't even with how good Twitter dramas. lodi talaga! Understood the assignment! #TrendingNow,0,0,0,0,0
Bruh Absolutely living for internships. lodi talaga!! #CollegeDays,0,0,0,0,0
Yooo Solid talaga yung Genshin Impact. undefeated af! Ito na talaga!,0,0,0,0,0
Slay naman ang fashion trends. Very sick! Living for this!,0,0,0,0,0
Lmao why is group projects so based? Ito na talaga!,0,0,0,0,0
"no cap, i appreciate professors #passingthevibe #passingthevibe",0,0,0,0,0
yooo apaka galing ng blackpink. peak af! sheesh! #TwentyTwentyFive,0,0,0,0,0
Main character energy in SB19. Sobrang saktong-sakto! G na G!,0,0,0,0,0
"sa tingin ko, peak ang p-pop! slayed fellow majors. #ClassOf2025",0,0,0,0,0
esports that's it THAT'S THE post,0,0,0,0,0
Srsly This is such a mood Netflix shows. Ang petmalu! #PassingTheVibe,0,0,0,0,0
"Omg Naur, ang ganda ng group projects! That's the tweet. #Finals",0,0,0,0,0
Main character energy in Mobile Legends. petmalu talaga! Rent free in my mind!,0,0,0,0,0
this is such a mood k-pop sobrang woah naol,0,0,0,0,0
Hey you Your filthy Wiki page.,0,0,0,0,0
Nakakaaliw yung coffee shops. PEAK talaga! YORME! #CollegeDays,0,0,0,0,0
Apaka GALING ng graduation. elite talaga! SHEESH!,0,0,0,0,0
pak na pak ang mobile legends. witty and bussin! #pinoypride,0,0,0,0,0
Omg Solid talaga yung K-pop!!! IYKYK! #TwentyTwentyFive,0,0,0,0,0
That's FIRE GRADUATION. Sobrang solid! Naol!,0,0,0,0,0
guys main character energy in dorm life wala akong maisip #TwentyTwentyFive,0,0,0,0,0
"Yooo Naur, ang ganda ng Netflix SHOWS. GOALS af! Yorme! #CollegeDays",0,0,0,0,0
Nakakaaliw yung new music. Very vibe! No cap! #WeekendVibes,0,0,0,0,0
Nakakaaliw yung anime. angas and peak! #CollegeDays,0,0,0,0,0
i'm shook at how good streaming. sobrang witty!!!! sheesh! #TwentyTwentyFive,0,0,0,0,0
Yooo Nakakaaliw yung Genshin Impact. clean af! Awit!,0,0,0,0,0
NAKAKAALIW yung campus events. peak TALAGA!!! Charaught! #StudentLife,0,0,0,0,0
Yooo Petmalu yung fashion trends. satisfying af! Wala akong maisip!,0,0,0,0,0
omg petmalu yung mobile legends!! that's the tweet. #universitylife,0,0,0,0,0
nakakaaliw yung mobile legends very legit iykyk,0,0,0,0,0
Srsly Literally can't even WITH how good scholarships. Ang WOAH! #BestLife,0,0,0,0,0
