comment,toxicity_level,insult,profanity,threat,identity_hate
Nakakaaliw yung relationship drama. angas and valid! #OOTD,0,0,0,0,0
Angat sa Netflix shows. Very based! Keep slaying!,0,0,0,0,0
Srsly I'm vibing with majors. Ang witty! #TrendingNow,0,0,0,0,0
This is such a mood scholarships #WeekendVibes #WeekendVibes,0,0,0,0,0
Slay naman ang Mobile Legends. Very valid! Fr fr!,0,0,0,0,0
Omg Awit sa galing ng Twitter dramas! Serving looks! #TwentyTwentyFive,0,0,0,0,0
It HITS different when basketball. witty talaga! Keep slaying!,0,0,0,0,0
Omg Angat sa online classes! Just saying! #PinoyPride,0,0,0,0,0
Nakakaaliw yung professors. lit and valid!! #CollegeDays,0,0,0,0,0
Low-key love BTS. sick and nindot! #CollegeDays,0,0,0,0,0
lmao why is mobile legends so sick? pak ganern!,0,0,0,0,0
"No cap, I appreciate new music. peak and solid! #CollegeDays",0,0,0,0,0
"Omg Naur, ang ganda ng new music!! This is the energy we need! #ClassOf2025",0,0,0,0,0
"Omg Naur, ang ganda ng graduation! Main character energy! #Finals",0,0,0,0,0
I'm vibing with basketball. goated and woah! #CollegeDays,0,0,0,0,0
"Sa tingin ko, goated ang dorm life! I'm vibing with stans.",0,0,0,0,0
Guys!! Literally can't even with how good viral challenges! Yorme!,0,0,0,0,0
Stan viral challenges. iconic and galing! #CollegeDays,0,0,0,0,0
"Sa tingin ko, elite ang new music! Absolutely living for freshies. #PinoyPride",0,0,0,0,0
Bruh This is giving Mobile Legends. swabe talaga!!,0,0,0,0,0
Omg Petmalu yung relationship drama! That's the tweet. #UniversityLife,0,0,0,0,0
"ngl, i'm obsessed with pubg sick and witty #midtermseason",0,0,0,0,0
Petmalu yung Twitter dramas. Very based! THAT'S the TWEET.,0,0,0,0,0
Bruh That's fire Valorant. petmalu talaga!,0,0,0,0,0
Low-key LOVE new MUSIC #MidtermSeason #MidtermSeason,0,0,0,0,0
Srsly Slayed weekend parties. Ang lodi!!! #MidtermSeason,0,0,0,0,0
"Srsly NGL, I'm obsessed with Valorant. Ang woah!! #BestLife",0,0,0,0,0
bruh slayed genshin impact. legit talaga!,0,0,0,0,0
"NGL, I'm obsessed with Twitter dramas. lit and legit!! #BestLife",0,0,0,0,0
Apaka galing ng BTS. petmalu and bussin!!!! #WeekendVibes,0,0,0,0,0
That's fire coffee shops. Sobrang kayang-kaya! Wala akong maisip!,0,0,0,0,0
Lmao why is thesis so satisfying? Pak ganern!,0,0,0,0,0
Slay naman ang coffee shops. Very vibe! Period!,0,0,0,0,0
Omg Solid talaga yung Netflix shows! Living for this! #BestLife,0,0,0,0,0
Stan campus events #UniversityLife #UniversityLife,0,0,0,0,0
Srsly That's fire online classes. Ang woah! #MidtermSeason,0,0,0,0,0
MAY dating yung viral challenges. bussin talaga! Awit!,0,0,0,0,0
Absolutely living for dorm life. Sobrang legit! Apaka nice! #PinoyPride,0,0,0,0,0
"Srsly NGL, I'm obsessed with P-pop. Ang saktong-sakto! #GoalAF",0,0,0,0,0
Lmao why is streaming so based? Sana all!,0,0,0,0,0
Literally can't even with how good K-pop #PassingTheVibe #PassingTheVibe,0,0,0,0,0
Omg May dating yung Genshin Impact! Main character energy! #SemBreak,0,0,0,0,0
Literally can't even with how good streaming. clean and lodi! #TwentyTwentyFive,0,0,0,0,0
I think Mobile Legends is so sick! May dating yung barkada.,0,0,0,0,0
"Sa tingin ko, goals ang P-pop! Main character energy in orgmates. #CollegeDays",0,0,0,0,0
This is giving campus events #UniversityLife #UniversityLife,0,0,0,0,0
"Sa tingin ko, fresh ang exams! Literally can't even with how good mutuals.",0,0,0,0,0
Omg Apaka GALING NG scholarships! Period! #TrendingNow,0,0,0,0,0
Ang lit ng K-pop. undefeated talaga! Pak ganern!,0,0,0,0,0
Bruh This is such a mood PUBG. saktong-sakto talaga!,0,0,0,0,0
Sana all kasing husay ng anime. dope talaga! G na G! #TrendingNow,0,0,0,0,0
Pak na pak ang Netflix shows. undefeated talaga!!!! Labyu!,0,0,0,0,0
Pak na pak ang fashion trends. goated talaga! Yorme!,0,0,0,0,0
yooo angat sa scholarships. goated af! yorme!,0,0,0,0,0
group projects that's it that's the post #GoalAF,0,0,0,0,0
I think PUBG is so sick! May dating yung fandom.,0,0,0,0,0
I think coffee shops is so fresh!!! Sana all kasing husay ng freshies. #TwentyTwentyFive,0,0,0,0,0
guys!! based take on weekend parties! labyu!,0,0,0,0,0
Srsly Slayed new music. Ang lodi! #PinoyPride,0,0,0,0,0
Lmao why is viral CHALLENGES so goated? Deserve MO 'yan!,0,0,0,0,0
"Sa tingin ko, goated ang relationship drama! NGL, I'm obsessed with fandom.",0,0,0,0,0
G na G ako sa K-pop. Very elite! Not taking criticism rn.,0,0,0,0,0
Yooo May dating yung online classes. fresh af! Solid yarn!,0,0,0,0,0
"Guys!!!!! NGL, I'm OBSESSED with professors! Labyu!",0,0,0,0,0
I think viral challenges is so fire! Grabe yung followers.,0,0,0,0,0
Bruh Main character energy in scholarships. angas talaga!,0,0,0,0,0
Blackpink that's it that's the post #TrendingNow,0,0,0,0,0
Omg G na G ako sa PUBG!!! Not taking criticism rn. #TwentyTwentyFive,0,0,0,0,0
"Yooo Naur, ang ganda ng volleyball. clean af! Wala akong maisip!",0,0,0,0,0
I'm shook at how good graduation. solid talaga! IYKYK!,0,0,0,0,0
Bruh Stan Netflix shows. witty talaga!,0,0,0,0,0
I think relationship drama is so goals! Solid talaga yung tropa. #GoalAF,0,0,0,0,0
I'm vibing with K-pop. fire and lit! #Finals,0,0,0,0,0
"Srsly No cap, I appreciate thesis. Ang astig!!!! #BESTLIFE",0,0,0,0,0
Bruh This is such a mood anime. astig talaga! #MidtermSeason,0,0,0,0,0
G na G ako sa viral challenges. based talaga!! G na G!,0,0,0,0,0
Bet ko yung thesis. witty and dope! #BestLife,0,0,0,0,0
BTS that's it that's the post #SemBreak,0,0,0,0,0
i think group projects is so legit apaka galing ng sophomores,0,0,0,0,0
Lmao why is Genshin Impact so iconic? Sana all!,0,0,0,0,0
petmalu yung p-pop swabe and lit #classof2025,0,0,0,0,0
Lmao why is K-pop so bussin? Solid yarn! #Finals,0,0,0,0,0
Stan dorm life #WeekendVibes #WeekendVibes,0,0,0,0,0
Bruh Literally can't even with HOW GOOD Genshin Impact. witty talaga!,0,0,0,0,0
low-key love tiktok. sobrang legit! yorme!,0,0,0,0,0
"Naur, ang ganda ng group projects. Very satisfying! We move! #StudentLife",0,0,0,0,0
It hits different when majors. Sobrang petmalu!!!! Ito na talaga!,0,0,0,0,0
Solid TALAGA yung Twitter dramas. Very elite! Just SAYING!,0,0,0,0,0
Absolutely living for thesis. Sobrang swabe! Naol! #MidtermSeason,0,0,0,0,0
Understood the assignment with majors. dope and astig! #NoFilter,0,0,0,0,0
Understood the assignment with volleyball. Sobrang galing! Naol!,0,0,0,0,0
Pak na pak ang majors. Very vibe! Fr fr!,0,0,0,0,0
Srsly That's fire P-pop. Ang kayang-kaya! #UniversityLife,0,0,0,0,0
"sa tingin ko, elite ang twitter dramas! i'm vibing with mga katropa.",0,0,0,0,0
GUYS!! I'M shook at how good graduation! Solid yarn!,0,0,0,0,0
Slayed Netflix shows. fresh and lodi!!! #TwentyTwentyFive,0,0,0,0,0
Absolutely living for BTS #PassingTheVibe #PassingTheVibe,0,0,0,0,0
"Sa tingin ko, peak ang Genshin Impact! Absolutely living for stans. #MidtermSeason",0,0,0,0,0
Stan BTS. Sobrang kayang-kaya! G na G!,0,0,0,0,0
"Sa tingin ko, undefeated ang fashion trends! That's fire fellow majors.",0,0,0,0,0
SLAYED thesis. ELITE and aprub! #MidtermSeason,0,0,0,0,0
i think coffee shops is so vibe! pak na pak ang dormmates.,0,0,0,0,0
Slayed campus events #TrendingNow #TrendingNow,0,0,0,0,0
This is giving basketball. Sobrang astig! Awit!,0,0,0,0,0
Awit sa galing ng internships. dope talaga! Apaka nice!,0,0,0,0,0
YOOO PAK na pak ang K-pop. goals af! G na G!,0,0,0,0,0
low-key love valorant dope and lit #passingthevibe,0,0,0,0,0
Bet ko yung streaming. legit talaga! Sana all!,0,0,0,0,0
Srsly Low-key love MEMES. Ang kayang-kaya!!! #PassingTheVibe,0,0,0,0,0
Lmao why is PUBG so FRESH? Charot LANG! #GoalAF,0,0,0,0,0
Yooo Solid talaga yung anime. elite af! G na G!,0,0,0,0,0
G na G ako sa new music. kayang-kaya and dope! #TwentyTwentyFive,0,0,0,0,0
Guys!!!! Based take on BTS! Napakahusay!,0,0,0,0,0
i think professors is so clean awit sa galing ng fellow majors,0,0,0,0,0
Bet ko yung Netflix shows. nindot and elite! #PassingTheVibe,0,0,0,0,0
Bruh Main character energy in anime. legit talaga!,0,0,0,0,0
This is giving BTS. Sobrang lodi! Wala akong maisip! #StudentLife,0,0,0,0,0
Low-key love scholarships. lit and kayang-kaya! #TrendingNow,0,0,0,0,0
Srsly I'm VIBING with new MUSIC. Ang lit! #PassingTheVibe,0,0,0,0,0
Bet ko yung Twitter dramas. vibe talaga!!!! Solid yarn!,0,0,0,0,0
Apaka galing ng MAJORS. Very undefeated!! PERIOD!,0,0,0,0,0
yooo petmalu yung mobile legends. goals af! charot lang! #Finals,0,0,0,0,0
"NGL, I'm obsessed with PUBG #MidtermSeason #MidtermSeason",0,0,0,0,0
this is such a mood thesis. sobrang woah! sana all! #CollegeDays,0,0,0,0,0
srsly low-key love anime. ang legit! #bestlife,0,0,0,0,0
I think exams is so goals! Grabe yung groupmates.,0,0,0,0,0
understood the assignment with netflix shows. peak and aprub!!! #pinoypride,0,0,0,0,0
Omg G na G ako sa Netflix shows! 10/10 recommend! #NoFilter,0,0,0,0,0
Facts ABOUT dorm life #OOTD #OOTD,0,0,0,0,0
May dating YUNG Blackpink. angas and legit! #SEMBREAK,0,0,0,0,0
grabe yung online classes vibe talaga charot lang,0,0,0,0,0
Petmalu yung Twitter dramas. saktong-sakto and fresh! #MidtermSeason,0,0,0,0,0
Slay naman ang volleyball. bussin talaga!! Sheesh!,0,0,0,0,0
"No cap, I appreciate anime. astig talaga! No cap!",0,0,0,0,0
I'm shook at how good relationship drama. satisfying and astig!! #StudentLife,0,0,0,0,0
based take on volleyball sobrang woah charaught,0,0,0,0,0
Srsly I'm shook at how good BTS. Ang lit! #GoalAF,0,0,0,0,0
Yooo Sana all kasing husay ng Blackpink. undefeated af! Labyu!,0,0,0,0,0
Bet ko yung K-pop. peak talaga! G na G! #TrendingNow,0,0,0,0,0
"Sa tingin ko, dope ang internships! Slayed fellow majors.",0,0,0,0,0
Yooo Awit sa galing ng BTS. undefeated af!!! Charot lang!,0,0,0,0,0
Lmao why is EXAMS so VIBE? Solid yarn!!,0,0,0,0,0
Guys!!! Based take on TikTok! Labyu!,0,0,0,0,0
May dating yung scholarships. Very based!!! Main character energy!,0,0,0,0,0
"NGL, I'm obsessed WITH Blackpink. lodi talaga! This is the energy WE need!",0,0,0,0,0
Bruh Absolutely living for dorm life. galing talaga!!,0,0,0,0,0
This is giving Genshin Impact. goals and aprub!!! #SemBreak,0,0,0,0,0
This is giving streaming. Sobrang astig! Naol! #TwentyTwentyFive,0,0,0,0,0
Literally can't even with how good online classes #MidtermSeason #MidtermSeason,0,0,0,0,0
Yooo Ang lit ng anime. fresh af! Napakahusay!,0,0,0,0,0
I think esports is so goated!! Awit sa galing ng sophomores.,0,0,0,0,0
Nakakaaliw yung Blackpink. dope talaga! Labyu! #BestLife,0,0,0,0,0
Facts about group projects. Sobrang aprub! G na G!,0,0,0,0,0
Bet ko yung exams. astig and iconic! #MidtermSeason,0,0,0,0,0
It hits different when P-pop. undefeated and woah!! #TwentyTwentyFive,0,0,0,0,0
"ngl, i'm obsessed with genshin impact. lit talaga! fr fr! #MidtermSeason",0,0,0,0,0
"Sa tingin ko, satisfying ang anime!! It hits different when kabatch.",0,0,0,0,0
Srsly Absolutely living for streaming. Ang angas!!!! #OOTD,0,0,0,0,0
That's fire Valorant. fire and woah! #GoalAF,0,0,0,0,0
I think anime is so sick!! Nakakaaliw yung freshies.,0,0,0,0,0
Based take on dorm life. Sobrang petmalu! Wala akong maisip!,0,0,0,0,0
"Sa tingin ko, sick ang memes!! Literally can't even with how good mutuals. #PinoyPride",0,0,0,0,0
I'm vibing with volleyball. BASED and woah! #TRENDINGNOW,0,0,0,0,0
Guys!! Absolutely living for K-pop! Solid yarn!,0,0,0,0,0
Lmao why is coffee shops so vibe? Charaught!,0,0,0,0,0
Awit sa galing ng weekend parties. fresh talaga!!!! Ito na talaga!,0,0,0,0,0
Guys!! This is giving volleyball! Napakahusay!,0,0,0,0,0
lmao why is streaming so valid? apaka nice!,0,0,0,0,0
understood the assignment with bts. peak and solid! #finals,0,0,0,0,0
"SA tingin ko, FRESH ang volleyball! Understood the assignment with dormmates.",0,0,0,0,0
yooo g na g ako sa basketball. legit af! pak ganern! #StudentLife,0,0,0,0,0
Omg Ang lit ng TikTok! Living for this! #PassingTheVibe,0,0,0,0,0
anime that's it that's the post #WeekendVibes,0,0,0,0,0
lmao why is majors so undefeated? wala akong maisip,0,0,0,0,0
YOOO Solid talaga yung esports. iconic af! CHAROT lang!,0,0,0,0,0
Slay naman ang PUBG. peak talaga! Charaught!,0,0,0,0,0
"Sa tingin ko, fresh ang PUBG! This is giving section. #BestLife",0,0,0,0,0
Omg G na G ako sa K-pop!!! Fr fr! #TwentyTwentyFive,0,0,0,0,0
Bruh It HITS different WHEN viral challenges. nindot talaga!!!! #MidtermSeason,0,0,0,0,0
"Sa tingin ko, undefeated ang coffee shops! I'm shook at how good squad.",0,0,0,0,0
"Yooo Naur, ang ganda ng memes. peak af! Sana all! #GoalAF",0,0,0,0,0
nakakaaliw yung campus events valid talaga wala akong maisip,0,0,0,0,0
Guys!! Low-key love exams! Solid yarn! #BestLife,0,0,0,0,0
Srsly Main character energy in memes. Ang swabe! #TwentyTwentyFive,0,0,0,0,0
I think new music is so goals!! Angat sa fellow majors.,0,0,0,0,0
It hits different when online classes #CollegeDays #CollegeDays,0,0,0,0,0
GENSHIN Impact that's it THAT'S the post,0,0,0,0,0
G na G ako sa volleyball. Very valid! This is the energy we need!,0,0,0,0,0
"Naur, ang ganda ng Blackpink. petmalu and legit! #MidtermSeason",0,0,0,0,0
slay naman ang netflix shows. iconic talaga! wala akong maisip!,0,0,0,0,0
"Yooo Naur, ang ganda ng graduation. lit af! Charot lang!",0,0,0,0,0
That's fire graduation #Finals #Finals,0,0,0,0,0
Understood the assignment with Genshin Impact. ASTIG talaga! Living for THIS!,0,0,0,0,0
Srsly I'm shook at how good majors. Ang witty!!! #BestLife,0,0,0,0,0
Pak na pak ang Blackpink. bussin TALAGA! DESERVE mo 'yan!,0,0,0,0,0
I think TikTok is so fire!!!! Ang lit ng stans.,0,0,0,0,0
Lmao why is fashion trends so fresh? Pak ganern! #SemBreak,0,0,0,0,0
I think scholarships is so vibe! Sana all kasing husay ng team.,0,0,0,0,0
omg awit sa galing ng tiktok! rent free in my mind! #trendingnow,0,0,0,0,0
Absolutely living for fashion trends. astig talaga! No cap!,0,0,0,0,0
Absolutely living for thesis #MidtermSeason #MidtermSeason,0,0,0,0,0
Nakakaaliw yung anime. angas and peak! #CollegeDays,0,0,0,0,0
"Bruh No cap, I appreciate majors. legit talaga!!!! #TrendingNow",0,0,0,0,0
Facts about relationship drama. legit and woah! #WeekendVibes,0,0,0,0,0
guys!!!! this is such a mood online classes! ito na talaga!,0,0,0,0,0
Bruh FACTS about SB19. lit talaga!!,0,0,0,0,0
Srsly I'm vibing with Valorant. Ang astig! #SemBreak,0,0,0,0,0
Main character energy in graduation. fresh and saktong-sakto!!!! #NoFilter,0,0,0,0,0
"Sa tingin ko, iconic ang TikTok! Understood the assignment with fellow majors.",0,0,0,0,0
Bruh Main character energy in PUBG. swabe talaga!,0,0,0,0,0
Guys!!!!! It hits different WHEN BLACKPINK! Yorme! #PassingTheVibe,0,0,0,0,0
Bruh I'm vibing with Mobile Legends. astig talaga!!,0,0,0,0,0
Lmao why is professors so based? Awit!!!!,0,0,0,0,0
"Sa tingin ko, vibe ang weekend parties! This is giving dormmates. #CollegeDays",0,0,0,0,0
"Sa TINGIN ko, elite ang weekend parties! I'm shook at HOW good mutuals. #OOTD",0,0,0,0,0
that's fire online classes #pinoypride #pinoypride,0,0,0,0,0
"I think fashion trends is so goals! Naur, ang ganda ng batchmates.",0,0,0,0,0
Stan exams #TRENDINGNOW #TRENDINGNOW,0,0,0,0,0
"Srsly No cap, I appreciate weekend parties. ANG saktong-sakto! #OOTD",0,0,0,0,0
"sa tingin ko, lit ang new music no cap, i appreciate followers",0,0,0,0,0
grabe yung online classes. very undefeated! fr fr!,0,0,0,0,0
Understood the assignment with viral challenges. astig talaga! IYKYK! #UniversityLife,0,0,0,0,0
Lmao WHY is NEW music so based? Naol!! #OOTD,0,0,0,0,0
Low-key love Mobile Legends. sick and swabe! #PinoyPride,0,0,0,0,0
I think streaming is so bussin! Solid talaga yung section. #OOTD,0,0,0,0,0
Based take on PUBG. Sobrang petmalu! Ito na talaga!,0,0,0,0,0
Grabe yung anime. astig and satisfying! #PinoyPride,0,0,0,0,0
G na G ako sa Valorant. Very clean!!!! No cap!,0,0,0,0,0
"Sa tingin ko, lit ang viral challenges! This is such a mood barkada. #PinoyPride",0,0,0,0,0
"Sa tingin ko, legit ang group projects! No cap, I appreciate followers.",0,0,0,0,0
Stan esports #WeekendVibes #WeekendVibes,0,0,0,0,0
Bet ko yung new music. sick talaga! Yorme! #NoFilter,0,0,0,0,0
Srsly I'm shook at how good dorm life. Ang woah! #OOTD,0,0,0,0,0
"Bruh No cap, I appreciate basketball. petmalu talaga!",0,0,0,0,0
Yooo Solid talaga yung TikTok. dope af! Charot lang!,0,0,0,0,0
"Bruh No cap, I appreciate group projects. petmalu talaga!",0,0,0,0,0
Yooo May dating yung group projects. sick af!! Charot lang!,0,0,0,0,0
Grabe yung fashion trends. Very lit! That's the tweet.,0,0,0,0,0
Lmao why is relationship drama so bussin? Awit! #NoFilter,0,0,0,0,0
Literally can't even with how good BTS. lit and angas! #TwentyTwentyFive,0,0,0,0,0
Lmao why is exams so satisfying? Napakahusay!,0,0,0,0,0
SRSLY I'm shook at how good memes. Ang lit! #BESTLIFE,0,0,0,0,0
Awit sa galing ng exams. aprub and fresh! #UniversityLife,0,0,0,0,0
omg angat sa professors! this is the energy we need! #ootd,0,0,0,0,0
Yooo Ang lit ng professors. elite af! Ito na talaga!,0,0,0,0,0
pak na pak ang genshin impact. galing and dope!!! #universitylife,0,0,0,0,0
"Sa tingin ko, bussin ang SB19!!!! NGL, I'm obsessed with orgmates.",0,0,0,0,0
fashion trends that's it that's the post #NoFilter,0,0,0,0,0
"Sa tingin ko, sick ang relationship drama!! Low-key love stans. #SemBreak",0,0,0,0,0
Bruh Facts about weekend parties. aprub talaga!,0,0,0,0,0
THIS is such A mood thesis. dope and lit! #WeekendVibes,0,0,0,0,0
bet ko yung genshin impact very clean 10/10 recommend,0,0,0,0,0
stan exams. angas talaga! serving looks!,0,0,0,0,0
Lmao why is scholarships so valid? Sana all! #SemBreak,0,0,0,0,0
Apaka galing ng TikTok. based talaga!!! Ito na talaga! #SemBreak,0,0,0,0,0
Literally can't even with how good Netflix shows. woah talaga! Serving looks! #WeekendVibes,0,0,0,0,0
nakakaaliw yung majors. goated talaga! sheesh!,0,0,0,0,0
This is such a mood Valorant. nindot talaga!! Serving looks!,0,0,0,0,0
I'm shook at how good exams. valid and aprub! #WeekendVibes,0,0,0,0,0
Slay naman ang exams. Very bussin! No cap!,0,0,0,0,0
I think anime is so lit!!!! Angat sa orgmates. #BestLife,0,0,0,0,0
"NGL, I'm obsessed with weekend parties #TrendingNow #TrendingNow",0,0,0,0,0
Yooo G na G ako sa online classes. fresh af! Charaught!,0,0,0,0,0
Slayed weekend parties. satisfying and saktong-sakto!!! #OOTD,0,0,0,0,0
"Sa tingin ko, satisfying ang TikTok!!! Absolutely living for batchmates.",0,0,0,0,0
"Sa tingin ko, fire ang Genshin Impact! Stan freshies.",0,0,0,0,0
Sana all kasing husay NG Valorant. saktong-sakto and CLEAN! #TrendingNow,0,0,0,0,0
I'm vibing WITH PUBG #GoalAF #GOALAF,0,0,0,0,0
"No cap, I appreciate memes. Sobrang kayang-kaya!! Solid yarn!",0,0,0,0,0
It hits different when Netflix shows. goals and angas! #NoFilter,0,0,0,0,0
Low-key love streaming. astig talaga!! Period!,0,0,0,0,0
TWITTER DRAMAS that's it that's the post,0,0,0,0,0
Yooo Pak na pak ang exams. fire af! Solid yarn!,0,0,0,0,0
Bruh Low-key love online classes. kayang-kaya talaga!,0,0,0,0,0
Solid talaga yung Valorant. galing and iconic!!! #PassingTheVibe,0,0,0,0,0
Petmalu yung Genshin Impact. clean talaga!!!! Ito na talaga!,0,0,0,0,0
I think Twitter dramas is so vibe! Ang lit ng dormmates. #ClassOf2025,0,0,0,0,0
yooo solid talaga yung weekend parties. peak af! sana all!,0,0,0,0,0
Slayed P-pop. Sobrang solid! Solid yarn!,0,0,0,0,0
Omg Petmalu yung exams! 10/10 recommend! #Finals,0,0,0,0,0
Understood the assignment with streaming. lit talaga!!!! That's the tweet. #NoFilter,0,0,0,0,0
Yooo Apaka galing NG Netflix shows. FIRE af! Ito na talaga!,0,0,0,0,0
petmalu yung streaming. kayang-kaya and undefeated!! #trendingnow,0,0,0,0,0
"Sa tingin ko, valid ang SB19! Main character energy in tropa. #TwentyTwentyFive",0,0,0,0,0
I'm shook at how good thesis. Sobrang legit! Charot lang!,0,0,0,0,0
Bruh Based take on group projects. solid talaga!!! #TwentyTwentyFive,0,0,0,0,0
Guys!! Low-key love BTS! Yorme!,0,0,0,0,0
Srsly Stan Genshin Impact. Ang aprub!! #NoFilter,0,0,0,0,0
lmao why is twitter dramas so iconic? deserve mo 'yan! #OOTD,0,0,0,0,0
"Srsly NGL, I'm obsessed with professors. Ang angas!!!! #PassingTheVibe",0,0,0,0,0
G na G ako sa scholarships. Very goated! Not taking criticism rn.,0,0,0,0,0
Grabe YUNG COFFEE shops. Very undefeated! No cap!,0,0,0,0,0
Lmao why is TikTok so undefeated? Sana all!!!!,0,0,0,0,0
BRUH I'm SHOOK at how good Netflix shows. lit talaga!,0,0,0,0,0
I think BTS is SO clean! Awit SA galing ng sophomores. #GoalAF,0,0,0,0,0
I think volleyball is so satisfying! Bet ko yung barkada.,0,0,0,0,0
Omg Solid talaga yung new music! Main character energy! #ClassOf2025,0,0,0,0,0
Grabe yung esports. Very valid! Just saying!,0,0,0,0,0
TikTok that's it that's the post #TwentyTwentyFive,0,0,0,0,0
Omg G na G ako sa TikTok! This is the energy we need! #CollegeDays,0,0,0,0,0
guys!! based take on p-pop! charot lang!,0,0,0,0,0
Pak na pak ang scholarships. clean talaga! Yorme!,0,0,0,0,0
Based take on volleyball. lodi talaga! This is the energy we need!,0,0,0,0,0
Facts about anime. swabe talaga! 10/10 recommend! #TrendingNow,0,0,0,0,0
"SA tingin ko, legit ang fashion trends! This IS giving kaibigan.",0,0,0,0,0
Lmao why is K-pop so based? Sheesh! #SemBreak,0,0,0,0,0
Omg Petmalu yung Twitter dramas!! That's the tweet. #TrendingNow,0,0,0,0,0
Lmao why is scholarships so based? G na G!,0,0,0,0,0
Yooo G na G AKO sa dorm LIFE. valid af!!! Sheesh!,0,0,0,0,0
solid talaga yung thesis. kayang-kaya and lit!!!! #universitylife,0,0,0,0,0
bruh facts about sb19. lodi talaga!,0,0,0,0,0
Facts about dorm life. valid and swabe! #MidtermSeason,0,0,0,0,0
understood the assignment with group projects #bestlife #bestlife,0,0,0,0,0
dorm life that's it that's the post #SemBreak,0,0,0,0,0
Main character energy in TikTok. Sobrang swabe! Charot lang! #PassingTheVibe,0,0,0,0,0
"Sa tingin ko, lit ang Mobile Legends! No cap, I appreciate dormmates. #TrendingNow",0,0,0,0,0
Apaka galing ng Mobile Legends. Very bussin! IYKYK!,0,0,0,0,0
Bruh That's fire coffee shops. astig talaga! #OOTD,0,0,0,0,0
Yooo Bet ko yung streaming. based af! Solid yarn! #PinoyPride,0,0,0,0,0
understood the assignment with internships. sobrang solid! labyu!,0,0,0,0,0
Lmao why is coffee shops so sick? Napakahusay!,0,0,0,0,0
"NGL, I'M obsessed with exams. satisfying and legit! #CLASSOF2025",0,0,0,0,0
Ang lit ng Netflix shows. vibe talaga! G na G! #NoFilter,0,0,0,0,0
Guys!! Slayed ESPORTS! ITO na talaga! #OOTD,0,0,0,0,0
bts that's it that's the post #TwentyTwentyFive,0,0,0,0,0
Slayed PUBG. iconic and legit!!! #MidtermSeason,0,0,0,0,0
Lmao why is Twitter dramas so undefeated? Solid yarn!!,0,0,0,0,0
"Sa tingin ko, peak ang fashion trends! This is giving dormmates.",0,0,0,0,0
Omg Apaka galing ng anime! Main character energy! #PassingTheVibe,0,0,0,0,0
